player_id,year,team,league,G,PA,AB,R,H,doubles,triples,HR,RBI,BB,SO,SB,CS,IBB,HBP,SH,SF,GIDP,TB
110044,1919,PIT,,31,101,92,2,17,2,1,0,5,6,13,0,0,0,0,3,0,2,21
110044,1920,PIT,,32,92,89,4,13,1,0,1,3,1,18,0,0,0,0,2,0,4,17
110044,1921,PIT,,21,66,63,7,16,2,4,0,6,1,7,1,0,0,0,2,0,3,26
110044,1922,PIT,,25,65,56,6,16,2,0,1,6,4,7,0,0,0,0,5,0,5,21
110044,1923,PIT,,22,62,55,5,15,5,1,0,6,6,13,0,1,0,0,1,0,2,22
110044,1924,PIT,,5,12,11,1,2,1,0,0,1,0,1,0,0,0,0,1,0,0,3
110044,1925,PIT,,18,35,31,3,7,1,0,0,1,3,6,0,0,0,0,1,0,2,8
110044,1926,PIT,,5,9,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110045,1946,CHN,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110046,1914,KCF,,25,41,46,1,7,0,0,1,2,1,14,0,1,0,0,1,0,0,10
110046,1915,KCF,,5,8,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110047,1922,CHN,,11,49,44,5,11,0,1,0,3,4,3,1,2,0,0,1,0,1,13
110047,1923,CHN,,90,343,311,40,90,12,0,4,36,26,10,20,20,0,1,10,4,6,114
110047,1924,CHN,,116,458,419,66,117,11,5,1,24,40,20,15,17,0,1,13,1,3,141
110047,1925,CHN,,149,646,627,95,180,29,8,2,48,45,15,27,14,0,7,5,3,8,231
110047,1926,CHN,,154,695,624,95,193,35,3,0,39,52,27,27,15,0,5,11,8,4,234
110047,1927,CHN,,146,679,647,100,189,17,7,0,47,42,26,26,17,0,0,9,7,9,220
110047,1928,PIT,,135,563,539,91,149,14,6,0,37,64,17,8,8,0,4,14,7,11,175
110047,1929,PIT,,58,212,196,37,51,8,1,0,11,15,5,3,2,1,1,2,3,1,61
110047,1930,SLN,,137,589,570,98,179,36,10,0,57,44,27,7,7,0,1,5,9,18,235
110047,1931,SLN,,142,615,608,97,178,46,5,1,40,42,24,16,16,0,2,6,0,2,237
110047,1932,SLN,,30,129,127,22,35,3,1,0,13,14,5,0,0,0,1,0,0,3,40
110047,1933,CIN,,144,632,568,60,146,22,1,1,23,45,33,3,4,0,3,15,0,10,173
110047,1934,CIN,,82,301,278,38,70,16,1,0,14,20,10,2,5,1,2,1,0,1,88
110048,1939,SLN,,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110048,1943,PHI,,115,402,429,49,108,15,7,4,40,43,74,2,5,0,0,13,0,8,149
110048,1944,PHI,,150,574,584,86,165,35,3,17,63,74,74,2,1,3,7,17,0,11,257
110048,1945,SLN,,153,593,634,104,182,29,1,22,111,62,80,3,3,1,3,8,0,10,279
110048,1946,SLN,,74,197,173,21,32,6,0,5,22,29,27,3,0,2,3,4,0,3,53
110048,1947,PHI,,69,183,182,21,45,11,1,2,15,26,29,2,2,1,0,1,0,3,64
110050,1975,SFN,,56,103,90,10,27,2,1,4,15,11,25,1,0,0,1,0,1,1,43
110050,1976,SFN,,66,75,74,2,18,4,0,0,3,1,12,1,0,0,0,0,0,4,22
110050,1977,MIN,,94,290,269,32,91,17,0,6,49,18,30,0,2,3,0,0,3,5,126
110050,1978,MIN,,114,332,310,27,80,18,1,7,35,17,32,0,1,0,0,2,0,10,121
110050,1979,MIN,,114,362,326,34,98,13,1,8,50,25,27,2,2,0,3,1,6,3,137
110050,1980,MIN,,99,287,262,32,75,11,2,6,38,15,26,2,4,1,0,6,4,11,108
110050,1981,MIN,,72,243,220,13,46,10,0,2,24,20,26,0,1,4,0,0,2,10,62
110050,1982,TOR,,28,73,66,2,17,4,0,1,11,4,5,0,0,0,0,0,3,3,24
110051,1969,CHA,,8,15,14,1,3,0,0,0,1,1,4,0,0,0,0,0,0,1,3
110052,1948,CHA,,3,0,11,1,3,1,0,0,0,1,1,0,0,0,0,1,0,0,4
110052,1949,CHA,,53,149,208,26,61,5,3,0,16,9,16,1,2,0,0,1,0,3,72
110052,1950,CHA,,32,125,118,12,24,2,3,0,2,12,7,3,0,0,2,1,0,2,32
110053,1912,SLA,,7,13,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
110053,1913,SLA,,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
110053,1914,PTF,,7,13,17,1,1,0,1,0,0,0,7,0,0,0,0,0,0,0,3
110053,1918,PHA,,23,56,56,3,8,1,0,0,2,2,15,0,1,0,0,1,0,2,9
110053,1919,PHA,,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110055,1910,CLE,,5,13,13,1,3,0,0,0,0,0,3,1,0,0,0,0,0,0,3
110055,1911,CLE,,2,5,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
110055,1912,CLE,,20,62,54,5,11,2,1,0,3,4,14,0,1,0,0,4,0,2,15
110055,1915,PHI,,18,31,27,1,3,0,0,0,1,2,3,0,0,0,0,1,1,1,3
110055,1916,PHI,,7,13,13,2,3,0,0,0,1,0,3,0,0,0,0,0,0,0,3
110055,1917,PHI,,40,106,107,4,22,4,1,1,9,0,20,0,2,0,0,4,0,4,31
110055,1918,PHI,,81,239,227,10,40,4,0,0,15,11,26,6,3,5,1,6,2,8,44
110055,1919,PHI,,74,241,232,14,54,7,2,1,19,6,27,4,1,1,0,1,2,3,68
110056,1902,SLN,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110057,1914,CIN,,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110057,1915,CHN,,17,28,30,0,0,0,0,0,0,0,16,0,0,0,0,1,0,1,0
110058,1905,WS1,,9,0,23,1,4,0,0,0,0,3,3,0,0,0,0,0,0,0,4
110059,1947,PHA,,34,84,89,9,18,2,3,2,11,2,18,0,0,0,0,2,0,0,32
110060,1982,CAL,,7,16,14,1,2,0,0,0,0,0,2,1,0,0,1,1,0,1,2
110060,1983,CAL,,41,123,112,22,28,2,0,2,6,5,12,1,1,0,3,3,0,2,36
110060,1985,SFN,,46,130,121,12,23,3,1,2,10,5,23,1,1,3,1,3,0,2,34
110061,1931,PHI,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110062,1925,BOS,,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110063,1946,CIN,,93,346,311,36,76,13,3,4,24,18,32,15,3,1,3,14,0,6,107
110063,1947,CIN,,71,253,217,39,59,12,2,4,21,25,23,10,2,2,4,7,0,2,87
110063,1948,CIN,,85,294,262,33,77,20,3,1,21,24,23,6,3,0,1,7,0,5,106
110063,1949,CIN,,100,307,276,32,70,16,2,0,25,26,36,4,0,0,0,5,0,5,90
110063,1950,CIN,,106,394,348,57,98,21,8,3,25,43,29,7,5,0,0,3,0,2,144
110063,1951,CIN,,124,450,403,57,107,12,5,5,24,43,40,4,12,1,1,3,0,6,144
110063,1952,CIN,,154,694,637,85,180,25,4,6,48,49,67,11,9,0,0,8,0,16,231
110063,1953,CIN,,150,678,607,99,167,14,6,8,49,58,69,3,2,2,1,12,0,7,217
110063,1954,CIN,,109,454,390,69,105,25,6,3,23,55,46,2,5,1,3,4,2,4,151
110063,1955,CHA,,79,199,171,31,43,11,3,2,23,22,25,2,0,1,3,2,1,2,66
110063,1956,BAL,,39,143,111,19,25,6,1,0,7,25,15,1,1,0,0,5,2,1,33
110063,1957,CHN,,57,211,187,21,47,10,2,1,10,17,28,0,3,0,2,5,0,2,64
110063,1958,CHN,,59,105,96,14,27,4,4,0,4,6,16,2,0,0,0,3,0,2,39
110063,1959,CHN,,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110064,1977,DET,,15,24,24,2,6,1,0,2,2,0,5,0,0,0,0,0,0,0,13
110065,1972,MIN,,2,6,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2
110065,1973,MIN,,35,84,66,21,14,2,0,3,6,17,18,2,1,0,1,0,0,2,25
110065,1976,CHN,,25,38,29,1,4,2,0,0,2,8,7,0,0,0,1,0,0,0,6
110065,1977,CHN,,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110065,1978,OAK,,14,22,15,5,3,1,0,0,1,7,2,0,0,0,0,0,0,0,4
110066,1923,PIT,,19,62,56,12,14,0,1,0,4,6,6,2,1,0,0,0,0,0,16
110066,1925,WS1,,28,46,57,12,16,5,1,0,4,5,4,1,1,0,0,1,2,1,23
