player_id,year,team,league,W,L,G,GS,IP,SO,BB,HR,CG,SHO,SV,H,ER,R,IBB,WP,HBP,BK,BFP,GF,SH,SF,GIDP
407853,2012,PIT,,7,14,24,24,125.667,118,56,14,0,0,0,129,70,76,2,1,3,1,557,0,5,2,11
407853,2013,HOU,,4,12,32,26,151.0,138,75,18,0,0,1,149,77,83,0,1,6,0,663,3,2,6,15
407853,2014,TBA,,4,6,17,15,75.667,64,29,10,0,0,0,84,40,46,0,3,2,0,342,1,1,4,5
407856,2002,BAL,,2,5,12,11,65.0,56,22,13,0,0,0,68,44,44,2,2,3,0,281,0,1,4,3
407857,2002,DET,,0,3,7,3,19.667,16,9,3,0,0,0,27,19,22,0,2,0,0,95,1,0,0,0
407859,2002,TOR,,1,4,58,0,66.0,48,32,12,0,0,0,52,42,42,3,2,7,0,282,17,4,5,5
407859,2005,SDN,,1,1,11,0,13.0,12,3,3,0,0,0,19,12,13,0,0,0,0,60,4,2,0,1
407859,2006,SDN,,6,4,42,0,42.667,49,19,8,0,0,0,39,12,18,2,0,1,0,182,14,4,1,2
407860,2004,TOR,,1,1,2,2,14.0,6,3,0,0,0,0,8,4,4,0,0,1,0,52,0,0,0,3
407860,2005,TOR,,13,9,34,34,203.0,121,70,20,0,0,0,213,84,93,3,3,8,0,872,0,8,10,22
407860,2006,TOR,,9,4,17,17,87.333,47,38,19,0,0,0,90,49,51,2,0,6,0,384,0,2,0,11
407860,2007,TOR,,2,1,5,5,27.333,11,7,6,0,0,0,29,17,17,1,0,2,0,118,0,0,0,2
407860,2010,HOU,,2,2,44,0,38.333,31,20,3,0,0,1,51,20,22,3,2,0,0,186,12,3,1,0
407864,2002,MIN,,0,0,8,0,11.667,5,10,3,0,0,0,13,13,13,0,2,0,0,56,3,0,0,2
407864,2004,TOR,,0,2,22,0,28.667,22,16,4,0,0,0,32,21,21,1,0,1,0,133,4,0,3,2
407866,2002,SLN,,3,0,49,1,52.667,47,14,3,0,0,0,43,11,11,2,3,1,0,213,14,3,6,2
407866,2003,MIL,,0,1,22,0,20.667,13,18,1,0,0,0,12,6,8,1,1,1,0,93,6,1,1,1
407867,2003,SLN,,0,0,7,0,9.0,8,11,0,0,0,0,10,6,7,0,1,0,0,48,2,0,1,0
407867,2005,SLN,,0,1,5,0,4.333,5,5,1,0,0,0,6,5,6,0,0,0,0,23,3,0,0,2
407870,2002,SLN,,0,0,3,3,13.0,1,8,1,0,0,0,20,11,13,0,0,1,0,66,0,3,1,2
407870,2003,SLN,,0,0,7,0,9.0,4,2,0,0,0,0,11,3,3,0,1,1,0,39,2,0,0,1
407870,2004,SLN,,0,0,3,0,2.333,0,0,0,0,0,0,3,1,1,0,0,0,0,9,1,1,0,0
407872,2006,KCA,,0,0,4,0,6.667,3,8,2,0,0,0,10,8,8,0,2,1,0,38,1,0,0,1
407872,2008,TEX,,0,0,1,0,1.0,2,1,0,0,0,0,1,0,1,0,1,1,0,6,1,0,1,0
407873,2003,LAN,,0,0,13,0,19.667,16,9,0,0,0,0,22,6,6,0,1,0,0,84,3,1,0,4
