key_mlbam,key_retro,key_bbref
110318,armat001,armasto01
150393,armat002,armasto02
110322,armbc101,armbrch01
110320,armbe101,armbred01
110323,armbh101,armbrha01
110321,armbo101,armbror01
820678,armep101,
660494,armer001,armenro01
431230,armer901,
820672,armob101,armoubu01
492615,armob801,armoubi99
820670,armou101,armou01
110327,armsg101,armstge01
110324,armsh101,armstho01
110325,armsj001,armstja01
820673,armsj101,armstji01
110326,armsm001,armstmi01
820669,armsm101,
203697,armsr101,armstsa01
542888,armss001,armstsh01
110329,arndh101,arndtha01
110330,arndl001,arndtla01
455743,arnet801,
110334,arnob101,arnolbi01
110331,arnoc101,arnolch01
,arnof901,
150374,arnoj001,arnolja01
110335,arnom101,arnovmo01
820671,arnop101,arnolpa01
110332,arnos001,arnolsc01
110333,arnot001,arnolto01
110336,arnsb001,arnsbbr01
110337,arnto101,arntzor01
608167,aro-j001,arojo01
110338,arocr001,arochre01
668227,arozr001,arozara01
650333,arral001,arraelu01
461766,arrej001,arredjo01
486200,arrid901,
110339,arrig101,arrigge01
453562,arrij001,arrieja01
681293,arris001,arrigsp01
276520,arrob001,arroybr01
624414,arroc001,arroych01
110340,arrof001,arroyfe01
110341,arrol101,arroylu01
134361,arror001,arrojro01
110342,arror101,arroyru01
628326,arrue001,arrueba01
427007,arsep801,
600858,arteh001,arteahu01
820659,arteu101,artez01
,artib101,
820663,arumj101,arumijo01
110343,arunh101,arundha01
110344,arunt101,arundtu01
110345,asadr001,asadora01
110346,asbej101,asbelji01
110347,asbjc101,asbjoca01
820654,asbuo101,asburor01
820655,ascac101,ascanca01
448857,ascaj001,ascanjo01
605125,aschc001,ascheco01
428441,aschd901,
407900,asenm001,asencmi01
110348,ash-k101,ashke01
820656,ash-r101,ashru01
110350,ashba001,ashbyal01
110351,ashba002,ashbyan01
676879,ashba003,ashbyaa01
820649,ashbe101,ashbyea01
110349,ashbr101,ashburi01
677952,ashcb001,ashcrbr01
668933,ashcg001,ashcrgr01
594742,ashea001,asheral01
,ashfe901,
110352,ashft001,ashfotu01
110353,ashlb001,ashlebi01
